Unnamed: 0,loan,overdraft,primary_sector,company_reg_number,loan_id,loan_start_date,loan_original_amount,loan_status,loan_repayment_frequency,loan_date_due_to_close,loan_amount_outstanding_including_future_interest,interest,loan_number_of_missed_payments,loan_default_date,loan_satisfaction_date,early_repayment_allowed,fixed_interest,total_time_payments_late,loan_key,loan_status_str,event_hard_default,obs_end_date,credit_report_date,missed_and_late_payments_last_five_years,business_failure_score,credit_report_credit_score,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,behavior_distress_flag,origination_credit_distress_flag,event_distress,event_augmented,obs_duration_days,event_date_augmented,event_type_augmented,duration_augmented_days,industry_group,is_overdraft,is_term_loan
78,1,0,49-53 : Transport & Storage (inc. postal),20000875,20000875_Loan_1,2020/4/15,24650,Disbursing,Monthly,2023/4/15,15178,11,0,,,1,0,0,20000875_Loan_1,disbursing,0,2023/4/15,2021/7/26,0,81,733,0,15,0.152094624,32443,5,0,0,0,0,1096,,censored,1096,49-53 : Transport & Storage (inc. postal),0,1
79,0,1,41-43 : Construction,20000877,20000877_Overdraft_1,2021/2/22,39750,Available,Monthly,2023/2/22,28530,9,0,,,1,0,0,20000877_Overdraft_1,available,0,2023/2/22,2021/4/15,6,44,801,6,25,0.27983866,87001,7,0,0,0,0,731,,censored,731,41-43 : Construction,1,0
80,0,1,58-63 : Information & communication,20000894,20000894_Overdraft_1,2021/2/16,115050,Repaid,Monthly,2022/2/16,0,,0,,2021/6/5,1,0,0,20000894_Overdraft_1,repaid,0,2021/6/5,2020/12/13,0,90,756,1,18,0.180613845,174810,4,0,1,1,1,110,2021/3/17,distress_origination,30,58-63 : Information & communication,1,0
81,0,1,"69-75 : Professional, scientific & technical",20000898,20000898_Overdraft_1,2020/2/26,186750,Repaid,Monthly,2021/2/26,0,,0,,2020/10/8,1,0,0,20000898_Overdraft_1,repaid,0,2020/10/8,2021/6/3,0,64,0,1,5,0.320975424,381989,5,0,0,0,0,226,,censored,226,"69-75 : Professional, scientific & technical",1,0
82,0,1,"69-75 : Professional, scientific & technical",20000919,20000919_Overdraft_1,2020/2/25,28250,Repaid,Monthly,2021/2/25,0,,0,,2020/4/26,1,0,0,20000919_Overdraft_1,repaid,0,2020/4/26,2021/1/27,0,16,369,3,5,0,0,3,0,0,0,0,62,,censored,62,"69-75 : Professional, scientific & technical",1,0
83,1,0,"01-03 : Agriculture, forestry & fishing",20000929,20000929_Loan_1,2020/9/15,22100,Repaid,Monthly,2021/9/15,0,,0,,2021/2/17,1,0,0,20000929_Loan_1,repaid,0,2021/2/17,2021/8/22,0,91,777,0,19,0.125808351,25213,0,0,0,0,0,156,,censored,156,"01-03 : Agriculture, forestry & fishing",0,1
84,0,1,"01-03 : Agriculture, forestry & fishing",20000936,20000936_Overdraft_1,2020/5/30,28800,Repaid,Monthly,2021/5/30,0,,0,,2021/5/30,1,0,0,20000936_Overdraft_1,repaid,0,2021/5/30,2021/6/14,0,0,489,1,21,0.174013625,27230,1,0,0,0,0,366,,censored,366,"01-03 : Agriculture, forestry & fishing",1,0
85,0,1,"01-03 : Agriculture, forestry & fishing",20000947,20000947_Overdraft_1,2021/5/12,30350,Repaid,Monthly,2022/5/12,0,,0,,2021/7/30,1,0,0,20000947_Overdraft_1,repaid,0,2021/7/30,2021/6/4,0,78,793,0,6,0,0,4,0,0,0,0,80,,censored,80,"01-03 : Agriculture, forestry & fishing",1,0
86,1,0,"01-03 : Agriculture, forestry & fishing",20000953,20000953_Loan_1,2021/7/20,40250,Disbursing,Monthly,2025/7/20,45918,6,0,,,1,0,0,20000953_Loan_1,disbursing,0,2024/2/29,2021/11/8,0,51,799,1,17,0.415170079,79224,2,0,0,0,0,955,,censored,955,"01-03 : Agriculture, forestry & fishing",0,1
87,0,1,86-88 : Health,20000970,20000970_Overdraft_1,2021/10/31,22800,Repaid,Monthly,2022/10/31,0,,0,,2022/10/31,1,0,0,20000970_Overdraft_1,repaid,0,2022/10/31,2021/6/1,5,34,673,5,54,0.100381468,14473,6,0,1,1,1,366,2021/11/29,distress_origination,30,86-88 : Health,1,0
88,0,1,49-53 : Transport & Storage (inc. postal),20000984,20000984_Overdraft_1,2021/6/3,32450,Repaid,Monthly,2022/6/3,0,,0,,2021/6/27,1,0,0,20000984_Overdraft_1,repaid,0,2021/6/27,2021/2/4,3,10,433,3,77,0.172791901,31233,5,0,1,1,1,25,2021/6/26,distress_origination,24,49-53 : Transport & Storage (inc. postal),1,0
89,1,0,49-53 : Transport & Storage (inc. postal),20000984,20000984_Loan_1,2020/2/20,24650,Defaulted,Monthly,2023/2/20,0,,3,2020/9/9,,,1,42,20000984_Loan_1,defaulted,1,2023/2/20,2021/2/4,3,10,433,3,77,0.172791901,31233,5,1,0,0,1,1097,2020/9/9,hard_default,203,49-53 : Transport & Storage (inc. postal),0,1
